Key,English(en),English(en) Comments,Dutch(nl),Dutch(nl) Comments,German(de),German(de) Comments,Greek(el),Greek(el) Comments,Italian(it),Italian(it) Comments,Norwegian(no),Norwegian(no) Comments,Polish(pl),Polish(pl) Comments,Slovenian(sl),Slovenian(sl) Comments,Spanish(es),Spanish(es) Comments
RECIPE_BOOK_TITLE,Recipes,Recepten,Rezepte,Συνταγές,Ricette,Oppskrifter,Przepisy,Recepti,Recetas
RECIPE_TAB_DISCOVER,Discover,Ontdekken,Entdecken,Ανακάλυψη,Scopri,Oppdag,Odkrywaj,Odkrij,Descubrir
RECIPE_TAB_MY_RECIPES,My Recipes,Mijn recepten,Meine Rezepte,Οι συνταγές μου,Le mie ricette,Mine oppskrifter,Moje przepisy,Moji recepti,Mis recetas
RECIPE_SEARCH_PLACEHOLDER,Search recipes...,Recepten zoeken...,Rezepte suchen...,Αναζήτηση συνταγών...,Cerca ricette...,Søk etter oppskrifter...,Szukaj przepisów...,Išči recepte...,Buscar recetas...
RECIPE_RECOMMENDED_TITLE,Recommended for You,Aanbevolen voor jou,Für dich empfohlen,Προτεινόμενα για εσάς,Consigliati per te,Anbefalt for deg,Polecane dla Ciebie,Priporočeno za vas,Recomendados para ti
RECIPE_FILTER_MORE,More Filters,Meer filters,Mehr Filter,Περισσότερα φίλτρα,Altri filtri,Flere filtre,Więcej filtrów,Več filtrov,Más filtros
RECIPE_EMPTY_LIST,No recipes found,Geen recepten gevonden,Keine Rezepte gefunden,Δεν βρέθηκαν συνταγές,Nessuna ricetta trovata,Ingen oppskrifter funnet,Nie znaleziono przepisów,Ni najdenih receptov,No se encontraron recetas
RECIPE_BTN_CREATE,Create Recipe,Recept maken,Rezept erstellen,Δημιουργία συνταγής,Crea ricetta,Opprett oppskrift,Stwórz przepis,Ustvari recept,Crear receta
RECIPE_D_LOG,Log Recipe,Recept loggen,Rezept protokollieren,Καταγραφή συνταγής,Registra ricetta,Logg oppskrift,Zapisz przepis,Zabeleži recept,Registrar receta
RECIPE_D_ADD_TO_SHOPPING_LIST,Add Ingredients to Shopping List,Ingrediënten toevoegen aan boodschappenlijst,Zutaten zur Einkaufsliste hinzufügen,Προσθήκη συστατικών στη λίστα αγορών,Aggiungi ingredienti alla lista della spesa,Legg til ingredienser i handlelisten,Dodaj składniki do listy zakupów,Dodaj sestavine na nakupovalni seznam,Añadir ingredientes a la lista de la compra
RECIPE_D_EDIT,Edit Recipe,Recept bewerken,Rezept bearbeiten,Επεξεργασία συνταγής,Modifica ricetta,Rediger oppskrift,Edytuj przepis,Uredi recept,Editar receta
